"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0035308","negative regulation of protein dephosphorylation","BP",6,2,4,0.642601833479987,0.137811079398725
"GO:0042306","regulation of protein import into nucleus","BP",6,1,3,0.910044209460714,0.390195622764166
"GO:0042308","negative regulation of protein import into nucleus","BP",3,0,2,1,0.306967466542153
"GO:0043500","muscle adaptation","BP",4,2,1,0.401321773712254,0.841316405085412
"GO:0043502","regulation of muscle adaptation","BP",3,1,1,0.699502154805247,0.748391636867767
"GO:0046823","negative regulation of nucleocytoplasmic transport","BP",3,0,2,1,0.306967466542153
"GO:0051170","import into nucleus","BP",16,2,10,0.98582072362495,0.0320769207057658
"GO:0051224","negative regulation of protein transport","BP",11,4,3,0.518006100933945,0.834475622407317
"GO:0090317","negative regulation of intracellular protein transport","BP",6,1,2,0.910044209460714,0.714942168073546
"GO:1904589","regulation of protein import","BP",6,1,3,0.910044209460714,0.390195622764166
"GO:1904590","negative regulation of protein import","BP",3,0,2,1,0.306967466542153
"GO:1904950","negative regulation of establishment of protein localization","BP",12,4,4,0.597875285233168,0.702407537378115
"GO:0000302","response to reactive oxygen species","BP",15,5,5,0.585755268732675,0.703048037207004
"GO:0006714","sesquiterpenoid metabolic process","BP",1,1,0,0.32991452991453,1
"GO:0006720","isoprenoid metabolic process","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0006721","terpenoid metabolic process","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0006979","response to oxidative stress","BP",24,8,9,0.563176002750687,0.550641995559484
"GO:0007422","peripheral nervous system development","BP",7,5,1,0.0428453059799918,0.960313577803809
"GO:0008544","epidermis development","BP",15,7,5,0.193476248967288,0.703048037207004
"GO:0016101","diterpenoid metabolic process","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0033306","phytol metabolic process","BP",1,1,0,0.32991452991453,1
"GO:0034308","primary alcohol metabolic process","BP",2,2,0,0.108654485899995,1
"GO:0046292","formaldehyde metabolic process","BP",1,1,0,0.32991452991453,1
"GO:0046458","hexadecanal metabolic process","BP",1,1,0,0.32991452991453,1
"GO:1903173","fatty alcohol metabolic process","BP",1,1,0,0.32991452991453,1
"GO:0007568","aging","BP",12,3,6,0.81364025308764,0.253918051363764
"GO:0030388","fructose 1,6-bisphosphate metabolic process","BP",1,1,0,0.32991452991453,1
"GO:0001558","regulation of cell growth","BP",38,16,12,0.149481360471794,0.802279625183751
"GO:0001967","suckling behavior","BP",2,0,0,1,1
"GO:0006986","response to unfolded protein","BP",6,3,0,0.31258479901659,1
"GO:0009895","negative regulation of catabolic process","BP",27,8,11,0.71442186336651,0.405479351831927
"GO:0016049","cell growth","BP",43,18,14,0.137283486397726,0.772594120063061
"GO:0030307","positive regulation of cell growth","BP",18,6,6,0.576555809210923,0.705300125382341
"GO:0030433","ubiquitin-dependent ERAD pathway","BP",6,3,0,0.31258479901659,1
"GO:0030968","endoplasmic reticulum unfolded protein response","BP",5,2,0,0.532596155325521,1
"GO:0030970","retrograde protein transport, ER to cytosol","BP",3,0,0,1,1
"GO:0031330","negative regulation of cellular catabolic process","BP",22,5,9,0.900242093615465,0.422890744464405
"GO:0032527","protein exit from endoplasmic reticulum","BP",4,1,0,0.798895615169579,1
"GO:0034620","cellular response to unfolded protein","BP",6,3,0,0.31258479901659,1
"GO:0034976","response to endoplasmic reticulum stress","BP",19,8,1,0.26705007792137,0.999851686146698
"GO:0035966","response to topologically incorrect protein","BP",8,5,0,0.0837640952464404,1
"GO:0035967","cellular response to topologically incorrect protein","BP",8,5,0,0.0837640952464404,1
"GO:0036503","ERAD pathway","BP",9,4,0,0.34093140881906,1
"GO:0040008","regulation of growth","BP",54,22,19,0.137910346084635,0.652431379961632
"GO:0042177","negative regulation of protein catabolic process","BP",12,4,3,0.597875285233168,0.878498317417051
"GO:0045927","positive regulation of growth","BP",23,6,10,0.824261918166862,0.321974294735716
"GO:0070861","regulation of protein exit from endoplasmic reticulum","BP",3,1,0,0.699502154805247,1
"GO:0070862","negative regulation of protein exit from endoplasmic reticulum","BP",2,0,0,1,1
"GO:1901799","negative regulation of proteasomal protein catabolic process","BP",4,1,0,0.798895615169579,1
"GO:1903051","negative regulation of proteolysis involved in cellular protein catabolic process","BP",6,1,1,0.910044209460714,0.936978178122284
"GO:1903363","negative regulation of cellular protein catabolic process","BP",7,2,1,0.731060007666052,0.960313577803809
"GO:1903513","endoplasmic reticulum to cytosol transport","BP",3,0,0,1,1
"GO:1903573","negative regulation of response to endoplasmic reticulum stress","BP",3,1,0,0.699502154805247,1
"GO:1904152","regulation of retrograde protein transport, ER to cytosol","BP",2,0,0,1,1
"GO:1904153","negative regulation of retrograde protein transport, ER to cytosol","BP",2,0,0,1,1
"GO:1904292","regulation of ERAD pathway","BP",4,1,0,0.798895615169579,1
"GO:1904293","negative regulation of ERAD pathway","BP",2,0,0,1,1
"GO:1905897","regulation of response to endoplasmic reticulum stress","BP",8,2,0,0.800186179038453,1
"GO:0002181","cytoplasmic translation","BP",9,1,7,0.973174202711476,0.0149465307535654
"GO:0002182","cytoplasmic translational elongation","BP",1,0,1,1,0.368376068376068
"GO:0006414","translational elongation","BP",4,0,4,1,0.0182529353345555
"GO:0006448","regulation of translational elongation","BP",3,0,3,1,0.0497691017182855
"GO:0017182","peptidyl-diphthamide metabolic process","BP",1,0,1,1,0.368376068376068
"GO:0017183","peptidyl-diphthamide biosynthetic process from peptidyl-histidine","BP",1,0,1,1,0.368376068376068
"GO:0018202","peptidyl-histidine modification","BP",1,0,1,1,0.368376068376068
"GO:1900247","regulation of cytoplasmic translational elongation","BP",1,0,1,1,0.368376068376068
"GO:2000765","regulation of cytoplasmic translation","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:0006821","chloride transport","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0015698","inorganic anion transport","BP",5,4,1,0.0432549502070106,0.899972176447494
"GO:0006892","post-Golgi vesicle-mediated transport","BP",13,3,3,0.856960939638732,0.91180045975602
"GO:0006896","Golgi to vacuole transport","BP",4,2,0,0.401321773712254,1
"GO:0006906","vesicle fusion","BP",8,4,1,0.251081238791448,0.975021099701108
"GO:0006907","pinocytosis","BP",2,0,0,1,1
"GO:0007034","vacuolar transport","BP",15,10,2,0.0074911807505441,0.990443632210539
"GO:0007041","lysosomal transport","BP",9,5,2,0.138768526256934,0.900901264735032
"GO:0016050","vesicle organization","BP",23,16,2,0.000318436444536815,0.999664366166614
"GO:0030100","regulation of endocytosis","BP",20,5,6,0.843093290093992,0.807090215027206
"GO:0034058","endosomal vesicle fusion","BP",2,1,0,0.551174573929065,1
"GO:0045807","positive regulation of endocytosis","BP",6,2,1,0.642601833479987,0.936978178122284
"GO:0048284","organelle fusion","BP",11,6,2,0.115946318875355,0.953408730836878
"GO:0048548","regulation of pinocytosis","BP",1,0,0,1,1
"GO:0048549","positive regulation of pinocytosis","BP",1,0,0,1,1
"GO:0061025","membrane fusion","BP",8,4,1,0.251081238791448,0.975021099701108
"GO:0090160","Golgi to lysosome transport","BP",1,0,0,1,1
"GO:0090174","organelle membrane fusion","BP",8,4,1,0.251081238791448,0.975021099701108
"GO:0001755","neural crest cell migration","BP",1,0,1,1,0.368376068376068
"GO:0001778","plasma membrane repair","BP",2,0,1,1,0.601250246759229
"GO:0002062","chondrocyte differentiation","BP",5,0,4,1,0.0645271007281625
"GO:0003413","chondrocyte differentiation involved in endochondral bone morphogenesis","BP",3,0,3,1,0.0497691017182855
"GO:0003416","endochondral bone growth","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:0003417","growth plate cartilage development","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:0003418","growth plate cartilage chondrocyte differentiation","BP",2,0,2,1,0.135501889992908
"GO:0014031","mesenchymal cell development","BP",2,0,2,1,0.135501889992908
"GO:0014032","neural crest cell development","BP",2,0,2,1,0.135501889992908
"GO:0014033","neural crest cell differentiation","BP",2,0,2,1,0.135501889992908
"GO:0035265","organ growth","BP",7,4,3,0.167422667018944,0.509883138174582
"GO:0048705","skeletal system morphogenesis","BP",21,3,9,0.986733884642551,0.35760970523345
"GO:0048864","stem cell development","BP",3,0,3,1,0.0497691017182855
"GO:0051208","sequestering of calcium ion","BP",3,0,2,1,0.306967466542153
"GO:0051216","cartilage development","BP",9,2,5,0.85308036278837,0.203370564263822
"GO:0051282","regulation of sequestering of calcium ion","BP",3,0,2,1,0.306967466542153
"GO:0051283","negative regulation of sequestering of calcium ion","BP",3,0,2,1,0.306967466542153
"GO:0051560","mitochondrial calcium ion homeostasis","BP",1,0,1,1,0.368376068376068
"GO:0060348","bone development","BP",17,5,10,0.710090252043072,0.0528362255074662
"GO:0060349","bone morphogenesis","BP",5,2,3,0.532596155325521,0.264003351081446
"GO:0060350","endochondral bone morphogenesis","BP",5,2,3,0.532596155325521,0.264003351081446
"GO:0060351","cartilage development involved in endochondral bone morphogenesis","BP",4,1,3,0.798895615169579,0.144317600869476
"GO:0098868","bone growth","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:0002523","leukocyte migration involved in inflammatory response","BP",2,0,1,1,0.601250246759229
"GO:0002526","acute inflammatory response","BP",7,2,4,0.731060007666052,0.230612268883612
"GO:0002673","regulation of acute inflammatory response","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0002675","positive regulation of acute inflammatory response","BP",3,1,1,0.699502154805247,0.748391636867767
"GO:0002687","positive regulation of leukocyte migration","BP",12,3,4,0.81364025308764,0.702407537378115
"GO:0009308","amine metabolic process","BP",5,3,0,0.204410201292352,1
"GO:0010828","positive regulation of glucose transmembrane transport","BP",2,0,1,1,0.601250246759229
"GO:0034764","positive regulation of transmembrane transport","BP",10,3,4,0.693782762890365,0.536039964196198
"GO:0035902","response to immobilization stress","BP",1,0,0,1,1
"GO:0046677","response to antibiotic","BP",5,0,4,1,0.0645271007281625
"GO:0051341","regulation of oxidoreductase activity","BP",5,1,1,0.865470480130593,0.899972176447494
"GO:0051354","negative regulation of oxidoreductase activity","BP",2,1,0,0.551174573929065,1
"GO:1902283","negative regulation of primary amine oxidase activity","BP",1,0,0,1,1
"GO:0007368","determination of left/right symmetry","BP",5,2,2,0.532596155325521,0.606693319637086
"GO:0007389","pattern specification process","BP",26,4,12,0.988562613215105,0.212965293365188
"GO:0009799","specification of symmetry","BP",5,2,2,0.532596155325521,0.606693319637086
"GO:0009855","determination of bilateral symmetry","BP",5,2,2,0.532596155325521,0.606693319637086
"GO:0048268","clathrin coat assembly","BP",3,2,1,0.2545194121767,0.748391636867767
"GO:0000281","mitotic cytokinesis","BP",7,2,2,0.731060007666052,0.796965780033131
"GO:0000910","cytokinesis","BP",18,6,5,0.576555809210923,0.853608052260058
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","BP",7,0,7,1,0.000892445416274443
"GO:0007093","mitotic cell cycle checkpoint","BP",16,1,12,0.998429969253792,0.00204177107190058
"GO:0007094","mitotic spindle assembly checkpoint","BP",4,0,4,1,0.0182529353345555
"GO:0007096","regulation of exit from mitosis","BP",1,0,1,1,0.368376068376068
"GO:0010458","exit from mitosis","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0010466","negative regulation of peptidase activity","BP",7,0,4,1,0.230612268883612
"GO:0010948","negative regulation of cell cycle process","BP",23,4,15,0.972579240536083,0.00495015873476457
"GO:0010951","negative regulation of endopeptidase activity","BP",7,0,4,1,0.230612268883612
"GO:0010965","regulation of mitotic sister chromatid separation","BP",8,0,7,1,0.00486202421110478
"GO:0030071","regulation of mitotic metaphase/anaphase transition","BP",7,0,7,1,0.000892445416274443
"GO:0031536","positive regulation of exit from mitosis","BP",1,0,1,1,0.368376068376068
"GO:0031577","spindle checkpoint","BP",4,0,4,1,0.0182529353345555
"GO:0033045","regulation of sister chromatid segregation","BP",10,1,8,0.982093029372433,0.00671587591215513
"GO:0033046","negative regulation of sister chromatid segregation","BP",5,0,4,1,0.0645271007281625
"GO:0033047","regulation of mitotic sister chromatid segregation","BP",9,1,7,0.973174202711476,0.0149465307535654
"GO:0033048","negative regulation of mitotic sister chromatid segregation","BP",5,0,4,1,0.0645271007281625
"GO:0035773","insulin secretion involved in cellular response to glucose stimulus","BP",3,1,1,0.699502154805247,0.748391636867767
"GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP",5,0,3,1,0.264003351081446
"GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP",10,1,5,0.982093029372433,0.289443984040306
"GO:0043523","regulation of neuron apoptotic process","BP",11,2,5,0.922506040904838,0.380216814666656
"GO:0043524","negative regulation of neuron apoptotic process","BP",7,2,3,0.731060007666052,0.509883138174582
"GO:0044342","type B pancreatic cell proliferation","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:0044784","metaphase/anaphase transition of cell cycle","BP",7,0,7,1,0.000892445416274443
"GO:0045839","negative regulation of mitotic nuclear division","BP",7,2,4,0.731060007666052,0.230612268883612
"GO:0045840","positive regulation of mitotic nuclear division","BP",6,2,4,0.642601833479987,0.137811079398725
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","BP",4,0,4,1,0.0182529353345555
"GO:0045930","negative regulation of mitotic cell cycle","BP",25,4,16,0.984619833504269,0.00487620607357292
"GO:0050000","chromosome localization","BP",12,2,7,0.944279198468277,0.107115123213609
"GO:0051303","establishment of chromosome localization","BP",12,2,7,0.944279198468277,0.107115123213609
"GO:0051304","chromosome separation","BP",13,1,11,0.994687366070426,0.000544255283233355
"GO:0051306","mitotic sister chromatid separation","BP",8,0,7,1,0.00486202421110478
"GO:0051346","negative regulation of hydrolase activity","BP",16,6,6,0.441265649128568,0.572367905209442
"GO:0051402","neuron apoptotic process","BP",12,3,5,0.81364025308764,0.470430217025865
"GO:0051784","negative regulation of nuclear division","BP",8,3,4,0.523681493548849,0.333387790858277
"GO:0051785","positive regulation of nuclear division","BP",8,3,4,0.523681493548849,0.333387790858277
"GO:0051983","regulation of chromosome segregation","BP",11,1,9,0.988051728219192,0.00295531809668321
"GO:0051985","negative regulation of chromosome segregation","BP",5,0,4,1,0.0645271007281625
"GO:0061178","regulation of insulin secretion involved in cellular response to glucose stimulus","BP",3,1,1,0.699502154805247,0.748391636867767
"GO:0061469","regulation of type B pancreatic cell proliferation","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0061640","cytoskeleton-dependent cytokinesis","BP",11,2,4,0.922506040904838,0.625081763927365
"GO:0070997","neuron death","BP",19,6,7,0.637705596132857,0.586473548552364
"GO:0071173","spindle assembly checkpoint","BP",4,0,4,1,0.0182529353345555
"GO:0071174","mitotic spindle checkpoint","BP",4,0,4,1,0.0182529353345555
"GO:0071322","cellular response to carbohydrate stimulus","BP",8,2,2,0.800186179038453,0.85736092452272
"GO:0071326","cellular response to monosaccharide stimulus","BP",7,2,2,0.731060007666052,0.796965780033131
"GO:0071331","cellular response to hexose stimulus","BP",7,2,2,0.731060007666052,0.796965780033131
"GO:0071333","cellular response to glucose stimulus","BP",7,2,2,0.731060007666052,0.796965780033131
"GO:0090307","mitotic spindle assembly","BP",6,1,5,0.910044209460714,0.0278851113928814
"GO:1901214","regulation of neuron death","BP",18,5,7,0.761449653132361,0.517008218218471
"GO:1901215","negative regulation of neuron death","BP",11,4,4,0.518006100933945,0.625081763927365
"GO:1901988","negative regulation of cell cycle phase transition","BP",15,1,11,0.99764189140199,0.00427846883060174
"GO:1901991","negative regulation of mitotic cell cycle phase transition","BP",15,1,11,0.99764189140199,0.00427846883060174
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","BP",7,0,7,1,0.000892445416274443
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","BP",4,0,4,1,0.0182529353345555
"GO:1905818","regulation of chromosome separation","BP",8,0,7,1,0.00486202421110478
"GO:1905819","negative regulation of chromosome separation","BP",5,0,4,1,0.0645271007281625
"GO:2000117","negative regulation of cysteine-type endopeptidase activity","BP",5,0,3,1,0.264003351081446
"GO:2000816","negative regulation of mitotic sister chromatid separation","BP",5,0,4,1,0.0645271007281625
"GO:0001937","negative regulation of endothelial cell proliferation","BP",2,0,1,1,0.601250246759229
"GO:0006638","neutral lipid metabolic process","BP",7,4,1,0.167422667018944,0.960313577803809
"GO:0006639","acylglycerol metabolic process","BP",7,4,1,0.167422667018944,0.960313577803809
"GO:0006641","triglyceride metabolic process","BP",6,4,0,0.0962356035681142,1
"GO:0007596","blood coagulation","BP",9,2,2,0.85308036278837,0.900901264735032
"GO:0007597","blood coagulation, intrinsic pathway","BP",1,0,0,1,1
"GO:0007599","hemostasis","BP",9,2,2,0.85308036278837,0.900901264735032
"GO:0010596","negative regulation of endothelial cell migration","BP",4,1,1,0.798895615169579,0.841316405085412
"GO:0010633","negative regulation of epithelial cell migration","BP",4,1,1,0.798895615169579,0.841316405085412
"GO:0010656","negative regulation of muscle cell apoptotic process","BP",3,0,1,1,0.748391636867767
"GO:0010657","muscle cell apoptotic process","BP",6,1,3,0.910044209460714,0.390195622764166
"GO:0010660","regulation of muscle cell apoptotic process","BP",6,1,3,0.910044209460714,0.390195622764166
"GO:0010896","regulation of triglyceride catabolic process","BP",1,0,0,1,1
"GO:0010898","positive regulation of triglyceride catabolic process","BP",1,0,0,1,1
"GO:0016525","negative regulation of angiogenesis","BP",7,4,2,0.167422667018944,0.796965780033131
"GO:0019433","triglyceride catabolic process","BP",1,0,0,1,1
"GO:0030193","regulation of blood coagulation","BP",6,0,2,1,0.714942168073546
"GO:0030194","positive regulation of blood coagulation","BP",3,0,1,1,0.748391636867767
"GO:0030195","negative regulation of blood coagulation","BP",4,0,2,1,0.46961733221483
"GO:0031639","plasminogen activation","BP",2,0,1,1,0.601250246759229
"GO:0033028","myeloid cell apoptotic process","BP",4,2,1,0.401321773712254,0.841316405085412
"GO:0033032","regulation of myeloid cell apoptotic process","BP",4,2,1,0.401321773712254,0.841316405085412
"GO:0033033","negative regulation of myeloid cell apoptotic process","BP",3,1,1,0.699502154805247,0.748391636867767
"GO:0034196","acylglycerol transport","BP",1,0,0,1,1
"GO:0034197","triglyceride transport","BP",1,0,0,1,1
"GO:0034390","smooth muscle cell apoptotic process","BP",3,1,0,0.699502154805247,1
"GO:0034391","regulation of smooth muscle cell apoptotic process","BP",3,1,0,0.699502154805247,1
"GO:0034392","negative regulation of smooth muscle cell apoptotic process","BP",2,0,0,1,1
"GO:0042730","fibrinolysis","BP",3,0,1,1,0.748391636867767
"GO:0045730","respiratory burst","BP",3,1,1,0.699502154805247,0.748391636867767
"GO:0045765","regulation of angiogenesis","BP",19,8,6,0.26705007792137,0.76014316084233
"GO:0046461","neutral lipid catabolic process","BP",1,0,0,1,1
"GO:0046464","acylglycerol catabolic process","BP",1,0,0,1,1
"GO:0046503","glycerolipid catabolic process","BP",2,1,0,0.551174573929065,1
"GO:0050680","negative regulation of epithelial cell proliferation","BP",7,0,6,1,0.0117550810360102
"GO:0050817","coagulation","BP",9,2,2,0.85308036278837,0.900901264735032
"GO:0050818","regulation of coagulation","BP",6,0,2,1,0.714942168073546
"GO:0050819","negative regulation of coagulation","BP",4,0,2,1,0.46961733221483
"GO:0050820","positive regulation of coagulation","BP",3,0,1,1,0.748391636867767
"GO:0050878","regulation of body fluid levels","BP",17,4,8,0.865109596168595,0.261590708865886
"GO:0050994","regulation of lipid catabolic process","BP",3,2,0,0.2545194121767,1
"GO:0050996","positive regulation of lipid catabolic process","BP",2,1,0,0.551174573929065,1
"GO:0051004","regulation of lipoprotein lipase activity","BP",1,0,0,1,1
"GO:0051006","positive regulation of lipoprotein lipase activity","BP",1,0,0,1,1
"GO:0051917","regulation of fibrinolysis","BP",2,0,1,1,0.601250246759229
"GO:0051918","negative regulation of fibrinolysis","BP",2,0,1,1,0.601250246759229
"GO:0060191","regulation of lipase activity","BP",6,4,1,0.0962356035681142,0.936978178122284
"GO:0060193","positive regulation of lipase activity","BP",6,4,1,0.0962356035681142,0.936978178122284
"GO:0060263","regulation of respiratory burst","BP",2,0,1,1,0.601250246759229
"GO:0060268","negative regulation of respiratory burst","BP",2,0,1,1,0.601250246759229
"GO:0061045","negative regulation of wound healing","BP",5,0,2,1,0.606693319637086
"GO:0061365","positive regulation of triglyceride lipase activity","BP",1,0,0,1,1
"GO:0072376","protein activation cascade","BP",1,0,0,1,1
"GO:0072378","blood coagulation, fibrin clot formation","BP",1,0,0,1,1
"GO:0090207","regulation of triglyceride metabolic process","BP",3,1,0,0.699502154805247,1
"GO:0090208","positive regulation of triglyceride metabolic process","BP",3,1,0,0.699502154805247,1
"GO:1900046","regulation of hemostasis","BP",6,0,2,1,0.714942168073546
"GO:1900047","negative regulation of hemostasis","BP",4,0,2,1,0.46961733221483
"GO:1900048","positive regulation of hemostasis","BP",3,0,1,1,0.748391636867767
"GO:1901342","regulation of vasculature development","BP",19,8,6,0.26705007792137,0.76014316084233
"GO:1901343","negative regulation of vasculature development","BP",8,4,3,0.251081238791448,0.615780346564365
"GO:1903035","negative regulation of response to wounding","BP",8,0,4,1,0.333387790858277
"GO:2000181","negative regulation of blood vessel morphogenesis","BP",8,4,3,0.251081238791448,0.615780346564365
"GO:0002028","regulation of sodium ion transport","BP",7,3,3,0.421456398014824,0.509883138174582
"GO:0002090","regulation of receptor internalization","BP",8,1,3,0.95983044272002,0.615780346564365
"GO:0006814","sodium ion transport","BP",12,8,3,0.0170787803851354,0.878498317417051
"GO:0006878","cellular copper ion homeostasis","BP",4,3,0,0.107717050641147,1
"GO:0006898","receptor-mediated endocytosis","BP",22,7,5,0.62667110288758,0.950871148394852
"GO:0006900","vesicle budding from membrane","BP",8,7,0,0.00234512325335327,1
"GO:0007040","lysosome organization","BP",6,2,3,0.642601833479987,0.390195622764166
"GO:0009615","response to virus","BP",20,11,5,0.0337059686293158,0.913621089155641
"GO:0010324","membrane invagination","BP",5,3,2,0.204410201292352,0.606693319637086
"GO:0010765","positive regulation of sodium ion transport","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:0017156","calcium-ion regulated exocytosis","BP",4,2,1,0.401321773712254,0.841316405085412
"GO:0017158","regulation of calcium ion-dependent exocytosis","BP",3,1,1,0.699502154805247,0.748391636867767
"GO:0031623","receptor internalization","BP",12,3,3,0.81364025308764,0.878498317417051
"GO:0032388","positive regulation of intracellular transport","BP",15,5,5,0.585755268732675,0.703048037207004
"GO:0032506","cytokinetic process","BP",4,2,2,0.401321773712254,0.46961733221483
"GO:0034314","Arp2/3 complex-mediated actin nucleation","BP",2,1,0,0.551174573929065,1
"GO:0034315","regulation of Arp2/3 complex-mediated actin nucleation","BP",1,1,0,0.32991452991453,1
"GO:0034377","plasma lipoprotein particle assembly","BP",1,1,0,0.32991452991453,1
"GO:0034379","very-low-density lipoprotein particle assembly","BP",1,1,0,0.32991452991453,1
"GO:0034765","regulation of ion transmembrane transport","BP",22,6,7,0.786519484208691,0.75952198477442
"GO:0034767","positive regulation of ion transmembrane transport","BP",8,3,3,0.523681493548849,0.615780346564365
"GO:0035725","sodium ion transmembrane transport","BP",6,4,1,0.0962356035681142,0.936978178122284
"GO:0036090","cleavage furrow ingression","BP",1,1,0,0.32991452991453,1
"GO:0043112","receptor metabolic process","BP",20,7,5,0.507994731867086,0.913621089155641
"GO:0043270","positive regulation of ion transport","BP",19,6,7,0.637705596132857,0.586473548552364
"GO:0045010","actin nucleation","BP",2,1,0,0.551174573929065,1
"GO:0045956","positive regulation of calcium ion-dependent exocytosis","BP",1,1,0,0.32991452991453,1
"GO:0046916","cellular transition metal ion homeostasis","BP",5,3,1,0.204410201292352,0.899972176447494
"GO:0048259","regulation of receptor-mediated endocytosis","BP",13,2,4,0.960155245528195,0.767491176287152
"GO:0048489","synaptic vesicle transport","BP",2,1,0,0.551174573929065,1
"GO:0050805","negative regulation of synaptic transmission","BP",5,2,3,0.532596155325521,0.264003351081446
"GO:0051125","regulation of actin nucleation","BP",1,1,0,0.32991452991453,1
"GO:0055070","copper ion homeostasis","BP",4,3,0,0.107717050641147,1
"GO:0055076","transition metal ion homeostasis","BP",6,4,1,0.0962356035681142,0.936978178122284
"GO:0055108","Golgi to transport vesicle transport","BP",1,1,0,0.32991452991453,1
"GO:0060292","long-term synaptic depression","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0060628","regulation of ER to Golgi vesicle-mediated transport","BP",2,2,0,0.108654485899995,1
"GO:0065005","protein-lipid complex assembly","BP",1,1,0,0.32991452991453,1
"GO:0070142","synaptic vesicle budding","BP",2,1,0,0.551174573929065,1
"GO:0071825","protein-lipid complex subunit organization","BP",3,1,0,0.699502154805247,1
"GO:0071827","plasma lipoprotein particle organization","BP",3,1,0,0.699502154805247,1
"GO:0080171","lytic vacuole organization","BP",6,2,3,0.642601833479987,0.390195622764166
"GO:0097006","regulation of plasma lipoprotein particle levels","BP",4,1,0,0.798895615169579,1
"GO:0097212","lysosomal membrane organization","BP",1,1,0,0.32991452991453,1
"GO:0097479","synaptic vesicle localization","BP",3,1,0,0.699502154805247,1
"GO:0098586","cellular response to virus","BP",9,4,2,0.34093140881906,0.900901264735032
"GO:0098655","cation transmembrane transport","BP",38,15,11,0.242628687687074,0.885664708661442
"GO:0098660","inorganic ion transmembrane transport","BP",31,13,7,0.188207481712139,0.972170475812584
"GO:0098662","inorganic cation transmembrane transport","BP",29,11,7,0.347972519088206,0.952477164440902
"GO:0098974","postsynaptic actin cytoskeleton organization","BP",3,2,0,0.2545194121767,1
"GO:0099024","plasma membrane invagination","BP",4,2,2,0.401321773712254,0.46961733221483
"GO:0099188","postsynaptic cytoskeleton organization","BP",3,2,0,0.2545194121767,1
"GO:1902305","regulation of sodium ion transmembrane transport","BP",5,3,1,0.204410201292352,0.899972176447494
"GO:1902307","positive regulation of sodium ion transmembrane transport","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:1902410","mitotic cytokinetic process","BP",3,2,1,0.2545194121767,0.748391636867767
"GO:1902774","late endosome to lysosome transport","BP",1,1,0,0.32991452991453,1
"GO:1902822","regulation of late endosome to lysosome transport","BP",1,1,0,0.32991452991453,1
"GO:1902824","positive regulation of late endosome to lysosome transport","BP",1,1,0,0.32991452991453,1
"GO:1902953","positive regulation of ER to Golgi vesicle-mediated transport","BP",1,1,0,0.32991452991453,1
"GO:1903335","regulation of vacuolar transport","BP",1,1,0,0.32991452991453,1
"GO:1903337","positive regulation of vacuolar transport","BP",1,1,0,0.32991452991453,1
"GO:1903725","regulation of phospholipid metabolic process","BP",7,4,1,0.167422667018944,0.960313577803809
"GO:1904062","regulation of cation transmembrane transport","BP",20,5,7,0.843093290093992,0.650600034410952
"GO:1904064","positive regulation of cation transmembrane transport","BP",6,1,3,0.910044209460714,0.390195622764166
"GO:1990386","mitotic cleavage furrow ingression","BP",1,1,0,0.32991452991453,1
"GO:0002688","regulation of leukocyte chemotaxis","BP",6,3,2,0.31258479901659,0.714942168073546
"GO:0002689","negative regulation of leukocyte chemotaxis","BP",1,1,0,0.32991452991453,1
"GO:0006935","chemotaxis","BP",30,7,9,0.912861454984242,0.835845245736911
"GO:0010758","regulation of macrophage chemotaxis","BP",3,2,1,0.2545194121767,0.748391636867767
"GO:0010760","negative regulation of macrophage chemotaxis","BP",1,1,0,0.32991452991453,1
"GO:0030198","extracellular matrix organization","BP",8,2,4,0.800186179038453,0.333387790858277
"GO:0030574","collagen catabolic process","BP",1,1,0,0.32991452991453,1
"GO:0030595","leukocyte chemotaxis","BP",12,5,4,0.358267732335499,0.702407537378115
"GO:0042330","taxis","BP",31,7,9,0.929668032935784,0.865671757559337
"GO:0043062","extracellular structure organization","BP",8,2,4,0.800186179038453,0.333387790858277
"GO:0048246","macrophage chemotaxis","BP",5,2,2,0.532596155325521,0.606693319637086
"GO:0050920","regulation of chemotaxis","BP",9,3,4,0.615056535913744,0.437401572133841
